Instrument,expiration,strike_price,type,volume,open_interest,rho,theta,vega,gamma,net_delta,delta,last_price,bid_iv,bid_price,market_price,ask_price,ask_iv,underlying_price,tau,days,payoff
BTC,12-May-24,65500,C,22.5,15.8,0.51203,101.05842,10.63384,0.0001,,0.1306,0.0022,42.41,0.002,0.0023,0.0025,45.38,62836,0.008219178,3,0
BTC,12-May-24,65500,P,,,3.6403,101.05842,10.63384,0.0001,,0.8694,,,0.0405,0.043,0.0475,65.29,62836,0.008219178,3,2664
BTC,12-May-24,66000,C,54.3,53.8,0.38165,84.59128,8.61905,0.00008,,0.09729,0.0021,43.67,0.0014,0.0016,0.0018,46.62,62836,0.008219178,3,0
BTC,12-May-24,66000,P,,,3.80237,84.59128,8.61905,0.00008,,0.90271,,,0.0475,0.0503,0.0535,63.34,62836,0.008219178,3,3164
BTC,12-May-24,66500,C,0.1,0.1,0.2864,70.55633,6.94706,0.00006,,0.07298,0.0012,45.11,0.001,0.0012,0.0014,48.75,62836,0.008219178,3,0
BTC,12-May-24,66500,P,,,3.92932,70.55633,6.94706,0.00006,,0.92702,,,0.0555,0.0579,0.0625,74.69,62836,0.008219178,3,3664
BTC,12-May-24,67000,C,1.8,1.8,0.21831,56.95673,5.62397,0.00005,,0.05562,0.0004,47.56,0.0008,0.0009,0.0011,50.84,62836,0.008219178,3,0
BTC,12-May-24,67000,P,,,4.02911,59.27144,5.62397,0.00005,,0.94438,,,0.063,0.0655,0.069,73.51,62836,0.008219178,3,4164
BTC,12-May-24,68000,C,2,2,0.13087,33.92088,3.7203,0.00003,,0.03334,0.0003,49.86,0.0004,0.0005,0.0007,54.94,62836,0.008219178,3,0
BTC,12-May-24,68000,P,,,4.17994,42.14385,3.7203,0.00003,,0.96666,,,0.0785,0.081,0.0845,82.55,62836,0.008219178,3,5164
BTC,12-May-24,69000,C,,,0.09065,24.44344,2.74148,0.00002,,0.02311,,52.05,0.0002,0.0004,0.0005,59.68,62836,0.008219178,3,0
BTC,12-May-24,69000,P,,,4.28355,33.95545,2.74148,0.00002,,0.97689,,,0.094,0.0968,0.1005,93.9,62836,0.008219178,3,6164
BTC,12-May-24,70000,C,,,0.05145,13.43846,1.68962,0.00001,,0.01311,,54.11,0.0001,0.0002,0.0004,65.04,62836,0.008219178,3,0
BTC,12-May-24,70000,P,,,4.38614,21.71763,1.68962,0.00001,,0.98689,,,0.11,0.1125,0.1165,104.87,62836,0.008219178,3,7164
BTC,12-May-24,71000,C,,,0.02306,5.54065,0.8353,0.00001,,0.00587,,,,0.0001,0.0005,74.75,62836,0.008219178,3,0
BTC,12-May-24,71000,P,,,4.47793,10.74683,0.8353,0.00001,,0.99413,,,0.126,0.1282,0.132,111.92,62836,0.008219178,3,8164
BTC,12-May-24,72000,C,,,0.00959,2.13062,0.38024,,,0.00244,,,,,0.0004,79.29,62836,0.008219178,3,0
BTC,12-May-24,72000,P,,,4.55479,4.89204,0.38024,,,0.99756,,,0.1415,0.1441,0.148,122.16,62836,0.008219178,3,9164
BTC,12-May-24,73000,C,,,0.00373,0.77069,0.16068,,,0.00095,,,,,0.0004,86.13,62836,0.008219178,3,0
BTC,12-May-24,73000,P,,,4.62404,2.06724,0.16068,,,0.99905,,,0.1575,0.16,0.164,132.16,62836,0.008219178,3,10164
BTC,17-May-24,44000,C,,,8.75792,7.93454,1.16328,,,0.99555,,,0.2995,0.3022,0.3045,142.98,62836,0.021917808,8,18836
BTC,17-May-24,44000,P,0.1,142.2,0.05882,7.93454,1.16328,,,0.00445,0.0002,92.52,0.0001,0.0002,0.0003,104.24,62836,0.021917808,8,0
BTC,17-May-24,48000,C,,,9.52136,10.07438,1.82286,,,0.99261,,,0.2365,0.2388,0.241,112.88,62836,0.021917808,8,14836
BTC,17-May-24,48000,P,5.7,120.7,0.09691,10.07438,1.82286,,,0.00739,0.0005,77.42,0.0002,0.0003,0.0004,84.3,62836,0.021917808,8,0
BTC,17-May-24,50000,C,,1.4,9.84801,15.42282,2.9943,,,0.98696,0.2005,,0.2045,0.2073,0.21,104.03,62836,0.021917808,8,12836
BTC,17-May-24,50000,P,44.8,421.9,0.17101,15.42282,2.9943,,,0.01304,0.0006,75.3,0.0005,0.0005,0.0006,77.28,62836,0.021917808,8,0
BTC,17-May-24,52000,C,,0.1,10.16603,19.37077,4.20852,0.00001,,0.98061,0.1885,,0.1735,0.1757,0.178,87.89,62836,0.021917808,8,10836
BTC,17-May-24,52000,P,9,431.8,0.25376,19.37077,4.20852,0.00001,,0.01939,0.0006,65.79,0.0006,0.0007,0.0009,70.11,62836,0.021917808,8,0
BTC,17-May-24,53000,C,,,10.27799,23.92702,5.41541,0.00001,,0.97385,,,0.157,0.1601,0.163,85.79,62836,0.021917808,8,9836
BTC,17-May-24,53000,P,3,154.1,0.34218,23.92702,5.41541,0.00001,,0.02615,0.0019,62.93,0.0008,0.0009,0.0011,66.41,62836,0.021917808,8,0
BTC,17-May-24,54000,C,,3,10.39088,27.21647,6.54815,0.00001,,0.96713,0.136,,0.1415,0.1444,0.1475,80.31,62836,0.021917808,8,8836
BTC,17-May-24,54000,P,21.6,360.9,0.42967,27.21647,6.54815,0.00001,,0.03287,0.0014,59.35,0.001,0.0011,0.0013,62.24,62836,0.021917808,8,0
BTC,17-May-24,55000,C,,,10.4517,32.4849,8.23996,0.00002,,0.95643,,,0.1265,0.1289,0.1315,72.32,62836,0.021917808,8,7836
BTC,17-May-24,55000,P,30.6,140.9,0.56923,32.4849,8.23996,0.00002,,0.04357,0.0025,56.08,0.0013,0.0015,0.0017,59.15,62836,0.021917808,8,0
BTC,17-May-24,56000,C,0.1,28.4,10.44314,39.72851,10.56717,0.00002,,0.94044,0.1065,46.87,0.1125,0.1136,0.116,66.54,62836,0.021917808,8,6836
BTC,17-May-24,56000,P,32.3,391.6,0.77817,39.72851,10.56717,0.00002,,0.05956,0.0019,54.05,0.0019,0.0021,0.0023,56.41,62836,0.021917808,8,0
BTC,17-May-24,57000,C,1.1,40,10.35108,48.40788,13.50336,0.00003,,0.91809,0.0915,33.87,0.096,0.0986,0.101,62.28,62836,0.021917808,8,5836
BTC,17-May-24,57000,P,62.4,200.1,1.07061,48.40788,13.50336,0.00003,,0.08191,0.0029,51.71,0.0027,0.0029,0.003,53.12,62836,0.021917808,8,0
BTC,17-May-24,58000,C,1.4,123.9,10.1314,59.08797,17.20708,0.00004,,0.88604,0.0665,36.75,0.081,0.0839,0.0865,58.83,62836,0.021917808,8,4836
BTC,17-May-24,58000,P,34.4,327.4,1.49067,59.08797,17.20708,0.00004,,0.11396,0.0036,49.62,0.0039,0.0041,0.0043,51.08,62836,0.021917808,8,0
BTC,17-May-24,59000,C,12,137.9,9.73428,71.82601,21.6555,0.00006,,0.84061,0.0545,37.11,0.0665,0.0699,0.0715,52.96,62836,0.021917808,8,3836
BTC,17-May-24,59000,P,193.2,385.9,2.08818,71.82601,21.6555,0.00006,,0.15939,0.006,47.22,0.0055,0.0059,0.0065,50.13,62836,0.021917808,8,0
BTC,17-May-24,60000,C,1.1,170.7,9.15709,84.10796,26.30471,0.00007,,0.78166,0.047,41.42,0.0545,0.0567,0.058,49.93,62836,0.021917808,8,2836
BTC,17-May-24,60000,P,25.5,211.2,2.86574,84.10796,26.30471,0.00007,,0.21834,0.0075,45.45,0.008,0.0085,0.009,47.85,62836,0.021917808,8,0
BTC,17-May-24,61000,C,41.3,150.3,8.34247,96.07768,30.77723,0.00008,,0.70518,0.0425,39.01,0.0415,0.0447,0.047,50.36,62836,0.021917808,8,1836
BTC,17-May-24,61000,P,136.9,178.2,3.88075,96.07768,30.77723,0.00008,,0.29482,0.0125,44.77,0.012,0.0124,0.013,46.81,62836,0.021917808,8,0
BTC,17-May-24,62000,C,20.6,261.2,7.33358,104.6203,34.11232,0.0001,,0.61478,0.035,43.65,0.0335,0.0342,0.0345,45.5,62836,0.021917808,8,836
BTC,17-May-24,62000,P,76.4,250.2,5.09001,104.6203,34.11232,0.0001,,0.38522,0.0175,44.35,0.0175,0.0178,0.0185,46.2,62836,0.021917808,8,0
BTC,17-May-24,63000,C,73.7,162.8,6.19451,108.20969,35.56806,0.0001,,0.51582,0.027,43.83,0.025,0.0254,0.026,45.6,62836,0.021917808,8,0
BTC,17-May-24,63000,P,28.1,124.3,6.42946,108.20969,35.56806,0.0001,,0.48418,0.024,43.86,0.0245,0.0249,0.025,44.74,62836,0.021917808,8,164
BTC,17-May-24,64000,C,130.7,239.8,5.02617,105.40129,34.80795,0.0001,,0.41621,0.0185,43.81,0.018,0.0183,0.019,45.62,62836,0.021917808,8,0
BTC,17-May-24,64000,P,90.9,178.5,7.79819,105.40129,34.80795,0.0001,,0.58379,0.033,42.27,0.0325,0.0336,0.035,46.79,62836,0.021917808,8,1164
BTC,17-May-24,65000,C,120.5,491.4,3.93782,98.04218,32.10355,0.00009,,0.32475,0.0135,43.73,0.0125,0.013,0.0135,45.7,62836,0.021917808,8,0
BTC,17-May-24,65000,P,2,92.7,9.08691,98.04218,32.10355,0.00009,,0.67525,0.074,41.32,0.0425,0.0442,0.0475,51.07,62836,0.021917808,8,2164
BTC,17-May-24,66000,C,80.5,267.5,2.9914,86.78588,28.10373,0.00008,,0.24588,0.0095,43.95,0.0085,0.009,0.0095,46.19,62836,0.021917808,8,0
BTC,17-May-24,66000,P,,33.9,10.23371,86.78588,28.10373,0.00008,,0.75412,0.05,37.81,0.053,0.0561,0.0605,54.56,62836,0.021917808,8,3164
BTC,17-May-24,67000,C,47.9,188.5,2.22987,74.37625,23.64366,0.00006,,0.18284,0.0055,45.22,0.006,0.0063,0.0065,46.56,62836,0.021917808,8,0
BTC,17-May-24,67000,P,2,2.1,11.19563,74.37625,23.64366,0.00006,,0.81716,0.101,38.02,0.0665,0.0692,0.0735,56.48,62836,0.021917808,8,4164
BTC,17-May-24,68000,C,54.1,463.9,1.64227,62.12149,19.3149,0.00005,,0.13441,0.0046,46.42,0.0042,0.0044,0.0047,48.05,62836,0.021917808,8,0
BTC,17-May-24,68000,P,,12.5,11.9836,62.12149,19.3149,0.00005,,0.86559,0.0945,36.5,0.0805,0.0832,0.0875,59.29,62836,0.021917808,8,5164
BTC,17-May-24,69000,C,131,612.4,1.21026,51.34442,15.53641,0.00004,,0.09893,0.0038,47.48,0.0029,0.0031,0.0033,49.1,62836,0.021917808,8,0
BTC,17-May-24,69000,P,,50.1,12.616,51.34442,15.53641,0.00004,,0.90107,0.1082,30.93,0.095,0.0978,0.101,59.39,62836,0.021917808,8,6164
BTC,17-May-24,70000,C,120.3,710.9,0.89939,42.36582,12.43164,0.00003,,0.07346,0.0023,49.08,0.0021,0.0022,0.0024,50.6,62836,0.021917808,8,0
BTC,17-May-24,70000,P,,6.8,13.12724,42.36582,12.43164,0.00003,,0.92654,0.137,,0.11,0.1128,0.116,62.74,62836,0.021917808,8,7164
BTC,17-May-24,72000,C,12.7,892.3,0.54099,30.72198,8.33255,0.00002,,0.04418,0.0014,52.81,0.0012,0.0013,0.0015,55.07,62836,0.021917808,8,0
BTC,17-May-24,72000,P,,0.4,13.88641,30.72198,8.33255,0.00002,,0.95582,0.2098,,0.1405,0.1436,0.148,75.11,62836,0.021917808,8,9164
BTC,17-May-24,74000,C,23.9,348.9,0.35374,23.52302,5.88612,0.00001,,0.0289,0.0008,57.4,0.0008,0.0009,0.001,59.54,62836,0.021917808,8,0
BTC,17-May-24,74000,P,,,14.47442,23.52302,5.88612,0.00001,,0.9711,,,0.172,0.1749,0.1785,80.74,62836,0.021917808,8,11164
BTC,17-May-24,76000,C,7.2,467.4,0.23192,17.59097,4.12751,0.00001,,0.01895,0.0005,60.85,0.0005,0.0006,0.0007,63.89,62836,0.021917808,8,0
BTC,17-May-24,76000,P,,2,14.997,17.59097,4.12751,0.00001,,0.98105,0.1825,,0.2035,0.2063,0.2105,91.74,62836,0.021917808,8,13164
BTC,17-May-24,78000,C,19.3,798.9,0.15327,13.01482,2.89288,0.00001,,0.01253,0.0004,63.58,0.0003,0.0004,0.0005,67.94,62836,0.021917808,8,0
BTC,17-May-24,78000,P,,0.3,15.47641,13.01482,2.89288,0.00001,,0.98747,0.2655,,0.234,0.2379,0.2425,102.36,62836,0.021917808,8,15164
BTC,17-May-24,80000,C,7.9,132.7,0.11965,11.27586,2.3352,,,0.00979,0.0003,66.8,0.0002,0.0003,0.0005,74.75,62836,0.021917808,8,0
BTC,17-May-24,80000,P,,,15.9108,11.27586,2.3352,,,0.99021,,,0.266,0.2695,0.2745,112.64,62836,0.021917808,8,17164
BTC,17-May-24,82000,C,1.5,85.7,0.08049,8.27297,1.64808,,,0.00659,0.0003,67.71,0.0001,0.0002,0.0004,79.01,62836,0.021917808,8,0
BTC,17-May-24,82000,P,,,16.35071,8.27297,1.64808,,,0.99341,,,0.297,0.3011,0.306,120.1,62836,0.021917808,8,19164
BTC,17-May-24,84000,C,24.2,110.1,0.0832,9.35526,1.70186,,,0.00683,0.0003,,,0.0002,0.0004,85.19,62836,0.021917808,8,0
BTC,17-May-24,84000,P,,,16.74876,9.35526,1.70186,,,0.99317,,,0.3295,0.3329,0.3375,127.07,62836,0.021917808,8,21164
BTC,17-May-24,86000,C,,67.3,0.07518,9.12866,1.55867,,,0.00619,0.0002,,,0.0002,0.0003,88.12,62836,0.021917808,8,0
BTC,17-May-24,86000,P,,,17.15754,9.12866,1.55867,,,0.99381,,,0.3605,0.3646,0.37,139.17,62836,0.021917808,8,23164
BTC,17-May-24,88000,C,,48.3,0.04342,5.58513,0.95354,,,0.00357,0.0001,,,0.0001,0.0002,89.68,62836,0.021917808,8,0
BTC,17-May-24,88000,P,,,17.59007,5.58513,0.95354,,,0.99643,,,0.393,0.3962,0.401,142.75,62836,0.021917808,8,25164
BTC,17-May-24,90000,C,,110.3,0.02457,3.33554,0.56945,,,0.00201,0.0002,,,0.0001,0.0002,94.95,62836,0.021917808,8,0
BTC,17-May-24,90000,P,,,18.00967,3.33554,0.56945,,,0.99799,,,0.4235,0.4279,0.4335,154.56,62836,0.021917808,8,27164
BTC,17-May-24,92000,C,,96.3,0.01367,1.951,0.33304,,,0.00112,0.0001,,,,0.0002,100.07,62836,0.021917808,8,0
BTC,17-May-24,92000,P,,,18.42134,1.951,0.33304,,,0.99888,,,0.4545,0.4596,0.465,160.43,62836,0.021917808,8,29164
BTC,24-May-24,46000,C,,,17.70372,10.72689,4.1486,,,0.98712,,,0.2695,0.2717,0.2745,97.31,62836,0.04109589,15,16836
BTC,24-May-24,46000,P,33.1,81.5,0.3357,10.72689,4.1486,,,0.01288,0.001,72.59,0.0006,0.0007,0.0008,75.62,62836,0.04109589,15,0
BTC,24-May-24,48000,C,,,18.33219,13.83802,5.76195,0.00001,,0.98112,,,0.238,0.2403,0.243,87.37,62836,0.04109589,15,14836
BTC,24-May-24,48000,P,50.8,205.6,0.49156,13.83802,5.76195,0.00001,,0.01888,0.0011,67.84,0.0009,0.001,0.0011,70,62836,0.04109589,15,0
BTC,24-May-24,50000,C,0.1,0.3,18.85078,18.59892,8.29241,0.00001,,0.97089,0.1915,,0.2065,0.2091,0.212,79.69,62836,0.04109589,15,12836
BTC,24-May-24,50000,P,174,310.2,0.75729,18.59892,8.29241,0.00001,,0.02911,0.0016,62.67,0.0013,0.0015,0.0017,65.72,62836,0.04109589,15,0
BTC,24-May-24,52000,C,,,19.21898,24.78571,11.87053,0.00001,,0.95488,,,0.175,0.1783,0.181,71.44,62836,0.04109589,15,10836
BTC,24-May-24,52000,P,30.6,92.6,1.17341,24.78571,11.87053,0.00001,,0.04512,0.0035,58.71,0.0021,0.0023,0.0025,60.83,62836,0.04109589,15,0
BTC,24-May-24,53000,C,,,19.30781,28.76438,14.25447,0.00002,,0.94322,,49.79,0.1615,0.163,0.1655,67.12,62836,0.04109589,15,9836
BTC,24-May-24,53000,P,2.4,57,1.47674,28.76438,14.25447,0.00002,,0.05678,0.0055,56.88,0.0027,0.0029,0.0031,58.65,62836,0.04109589,15,0
BTC,24-May-24,54000,C,,,19.30714,33.44007,17.11851,0.00002,,0.92815,,34.36,0.1445,0.148,0.1505,64.15,62836,0.04109589,15,8836
BTC,24-May-24,54000,P,22.1,198.6,1.86957,33.44007,17.11851,0.00002,,0.07185,0.005,55.19,0.0035,0.0037,0.0039,56.66,62836,0.04109589,15,0
BTC,24-May-24,55000,C,,0.2,19.1921,38.86366,20.50624,0.00002,,0.90872,0.1444,39.01,0.1295,0.1332,0.136,62.07,62836,0.04109589,15,7836
BTC,24-May-24,55000,P,26.8,110.6,2.37678,38.86366,20.50624,0.00002,,0.09128,0.0046,53.42,0.0045,0.0048,0.005,54.96,62836,0.04109589,15,0
BTC,24-May-24,56000,C,1,59.2,18.94215,44.8902,24.37789,0.00003,,0.88419,0.1,49.35,0.1175,0.1187,0.1215,59.34,62836,0.04109589,15,6836
BTC,24-May-24,56000,P,8.1,144.4,3.01889,44.8902,24.37789,0.00003,,0.11581,0.0055,52.26,0.006,0.0062,0.0065,53.55,62836,0.04109589,15,0
BTC,24-May-24,57000,C,0.2,30.5,18.53777,51.2736,28.63804,0.00004,,0.85382,0.097,48.49,0.1035,0.1047,0.1075,57.08,62836,0.04109589,15,5836
BTC,24-May-24,57000,P,31.5,172.3,3.81542,51.2736,28.63804,0.00004,,0.14618,0.008,50.15,0.0075,0.008,0.0085,52.35,62836,0.04109589,15,0
BTC,24-May-24,58000,C,10,16.9,17.92344,58.31031,33.28623,0.00004,,0.81563,0.0745,48.51,0.0905,0.0914,0.094,55.01,62836,0.04109589,15,4836
BTC,24-May-24,58000,P,15.7,78.2,4.82192,58.31031,33.28623,0.00004,,0.18437,0.01,49.24,0.01,0.0105,0.011,51.13,62836,0.04109589,15,0
BTC,24-May-24,59000,C,26,15.1,17.12433,64.91657,37.88988,0.00005,,0.7706,0.066,47.17,0.0775,0.0786,0.08,51.33,62836,0.04109589,15,3836
BTC,24-May-24,59000,P,9.1,288.9,6.01319,64.91657,37.88988,0.00005,,0.2294,0.0135,48.07,0.013,0.0136,0.014,49.73,62836,0.04109589,15,0
BTC,24-May-24,60000,C,16.2,25.1,16.11929,70.90236,42.20518,0.00006,,0.71808,0.0695,45.52,0.065,0.0667,0.068,50.02,62836,0.04109589,15,2836
BTC,24-May-24,60000,P,13.2,306.7,7.41039,70.90236,42.20518,0.00006,,0.28192,0.0175,47.3,0.017,0.0175,0.018,48.8,62836,0.04109589,15,0
BTC,24-May-24,61000,C,7.2,18.5,14.91549,75.84944,45.86331,0.00006,,0.65854,0.058,44.85,0.054,0.0558,0.057,48.98,62836,0.04109589,15,1836
BTC,24-May-24,61000,P,20.1,60.4,9.00635,75.84944,45.86331,0.00006,,0.34146,0.0225,46.69,0.022,0.0225,0.023,48.07,62836,0.04109589,15,0
BTC,24-May-24,62000,C,58.9,73,13.54883,79.25707,48.47662,0.00007,,0.59354,0.0475,46.09,0.0455,0.046,0.0465,47.4,62836,0.04109589,15,836
BTC,24-May-24,62000,P,36.8,99.8,10.76518,79.25707,48.47662,0.00007,,0.40646,0.0305,46.08,0.028,0.0286,0.029,47.38,62836,0.04109589,15,0
BTC,24-May-24,63000,C,61.3,119.3,12.07571,80.71461,49.75205,0.00007,,0.52545,0.039,45.84,0.037,0.0375,0.038,47.11,62836,0.04109589,15,0
BTC,24-May-24,63000,P,11.6,39.4,12.63045,80.71461,49.75205,0.00007,,0.47455,0.0385,45.38,0.035,0.0358,0.0365,47.29,62836,0.04109589,15,164
BTC,24-May-24,64000,C,146.9,268.8,10.5616,80.07022,49.56233,0.00007,,0.4569,0.028,45.46,0.0295,0.0301,0.0305,46.74,62836,0.04109589,15,0
BTC,24-May-24,64000,P,2.1,21.8,14.53673,80.07022,49.56233,0.00007,,0.5431,0.046,45.2,0.0435,0.0443,0.045,47.11,62836,0.04109589,15,1164
BTC,24-May-24,65000,C,154.9,275.3,9.07392,77.45575,47.96779,0.00007,,0.39062,0.025,45.63,0.0235,0.0239,0.0245,46.95,62836,0.04109589,15,0
BTC,24-May-24,65000,P,0.6,56.1,16.41657,77.45575,47.96779,0.00007,,0.60938,0.061,44.24,0.0525,0.054,0.056,48.85,62836,0.04109589,15,2164
BTC,24-May-24,66000,C,151.2,445.3,7.67418,73.24021,45.20124,0.00006,,0.32901,0.0185,45.82,0.0185,0.0189,0.0195,47.21,62836,0.04109589,15,0
BTC,24-May-24,66000,P,,16.1,18.20847,73.24021,45.20124,0.00006,,0.67099,0.0725,43.85,0.063,0.0648,0.067,49.43,62836,0.04109589,15,3164
BTC,24-May-24,67000,C,57.1,134.2,6.39607,67.67241,41.56574,0.00006,,0.27325,0.017,46.17,0.0145,0.0148,0.0155,47.68,62836,0.04109589,15,0
BTC,24-May-24,67000,P,,,19.87874,67.67241,41.56574,0.00006,,0.72675,,41.89,0.0735,0.0765,0.081,53.21,62836,0.04109589,15,4164
BTC,24-May-24,68000,C,14.6,207.9,5.28126,61.59743,37.47742,0.00005,,0.22499,0.012,46.07,0.011,0.0116,0.012,47.76,62836,0.04109589,15,0
BTC,24-May-24,68000,P,,0.3,21.38571,61.59743,37.47742,0.00005,,0.77501,0.154,41.48,0.086,0.0892,0.094,54.82,62836,0.04109589,15,5164
BTC,24-May-24,69000,C,25.2,37.5,4.33165,55.34001,33.25741,0.00004,,0.18412,0.011,46.53,0.0085,0.0091,0.0095,48.43,62836,0.04109589,15,0
BTC,24-May-24,69000,P,1.1,1.1,22.72748,55.34001,33.25741,0.00004,,0.81588,0.1255,41.52,0.0995,0.1025,0.106,53.9,62836,0.04109589,15,6164
BTC,24-May-24,70000,C,57.3,414.3,3.57093,49.79546,29.33753,0.00004,,0.15156,0.0075,48.03,0.007,0.0073,0.0075,49.11,62836,0.04109589,15,0
BTC,24-May-24,70000,P,,,23.88037,49.79546,29.33753,0.00004,,0.84844,,39.97,0.113,0.1165,0.12,55.49,62836,0.04109589,15,7164
BTC,24-May-24,72000,C,60.9,638.8,2.41047,39.23517,22.25934,0.00003,,0.10206,0.0048,49.73,0.0044,0.0047,0.0049,51.15,62836,0.04109589,15,0
BTC,24-May-24,72000,P,,,25.82514,39.23517,22.25934,0.00003,,0.89794,,32.56,0.1415,0.1456,0.1495,59.98,62836,0.04109589,15,9164
BTC,24-May-24,74000,C,22.9,739.8,1.67312,31.2239,16.9187,0.00002,,0.07076,0.0032,51.88,0.0029,0.0032,0.0034,53.74,62836,0.04109589,15,0
BTC,24-May-24,74000,P,,,27.34682,31.2239,16.9187,0.00002,,0.92924,,,0.172,0.1758,0.18,65.24,62836,0.04109589,15,11164
BTC,24-May-24,76000,C,11.3,338,1.18843,24.99947,12.93636,0.00001,,0.05023,0.0023,54.27,0.002,0.0022,0.0024,56.23,62836,0.04109589,15,0
BTC,24-May-24,76000,P,,,28.61583,24.99947,12.93636,0.00001,,0.94977,,,0.2025,0.2066,0.2115,72.22,62836,0.04109589,15,13164
BTC,24-May-24,78000,C,40.5,72.2,0.86125,20.13243,9.97039,0.00001,,0.0364,0.0016,56.54,0.0014,0.0016,0.0018,59.07,62836,0.04109589,15,0
BTC,24-May-24,78000,P,,,29.72733,20.13243,9.97039,0.00001,,0.9636,,,0.2335,0.2377,0.243,78.74,62836,0.04109589,15,15164
BTC,24-May-24,80000,C,0.2,133,0.64098,16.4655,7.8106,0.00001,,0.02709,0.0013,58.76,0.001,0.0012,0.0014,61.98,62836,0.04109589,15,0
BTC,24-May-24,80000,P,,,30.73192,16.4655,7.8106,0.00001,,0.97291,,,0.264,0.2689,0.2735,81.68,62836,0.04109589,15,17164
BTC,24-May-24,82000,C,1.5,51.7,0.47476,13.25595,6.0662,0.00001,,0.02006,0.0009,61.74,0.0008,0.0009,0.001,63.79,62836,0.04109589,15,0
BTC,24-May-24,82000,P,,,31.68247,13.25595,6.0662,0.00001,,0.97994,,,0.2965,0.3003,0.3045,85.44,62836,0.04109589,15,19164
BTC,24-May-24,84000,C,0.1,38.2,0.36437,10.98215,4.84066,,,0.0154,0.0007,63.92,0.0006,0.0007,0.0008,66.47,62836,0.04109589,15,0
BTC,24-May-24,84000,P,,,32.57718,10.98215,4.84066,,,0.9846,,,0.328,0.3318,0.336,90.56,62836,0.04109589,15,21164
BTC,24-May-24,86000,C,4.6,9,0.2839,9.17396,3.90381,,,0.012,0.0006,64.96,0.0004,0.0005,0.0007,69.76,62836,0.04109589,15,0
BTC,24-May-24,86000,P,,,33.44197,9.17396,3.90381,,,0.988,,,0.3585,0.3634,0.3685,99.34,62836,0.04109589,15,23164
BTC,24-May-24,88000,C,11.6,31.2,0.22623,7.79471,3.20471,,,0.00957,0.0004,66.82,0.0003,0.0004,0.0005,71,62836,0.04109589,15,0
BTC,24-May-24,88000,P,,,34.28396,7.79471,3.20471,,,0.99043,,,0.39,0.395,0.4,104.11,62836,0.04109589,15,25164
BTC,24-May-24,90000,C,28.8,84.3,0.15623,5.68168,2.31169,,,0.0066,0.0004,67.68,0.0002,0.0003,0.0004,73.1,62836,0.04109589,15,0
BTC,24-May-24,90000,P,,,35.13829,5.68168,2.31169,,,0.9934,,,0.4215,0.4265,0.432,110.65,62836,0.04109589,15,27164
BTC,31-May-24,20000,C,,,11.66731,0.53097,0.15594,,,0.99972,,,0.682,0.6834,0.685,220.17,62836,0.060273973,22,42836
BTC,31-May-24,20000,P,,230.3,0.01115,0.53097,0.15594,,,0.00028,0.0001,,,,0.0002,172.43,62836,0.060273973,22,0
BTC,31-May-24,25000,C,,,14.54938,1.90429,0.60813,,,0.9988,,,0.603,0.6044,0.606,182.19,62836,0.060273973,22,37836
BTC,31-May-24,25000,P,5.2,96.6,0.0487,1.90429,0.60813,,,0.0012,0.0001,,,0.0001,0.0002,140.33,62836,0.060273973,22,0
BTC,31-May-24,30000,C,,10,17.43413,2.66349,1.0052,,,0.99791,0.5569,,0.5235,0.5253,0.527,150.86,62836,0.060273973,22,32836
BTC,31-May-24,30000,P,,335,0.08356,2.66349,1.0052,,,0.00209,0.0004,106.75,0.0001,0.0002,0.0003,119.13,62836,0.060273973,22,0
BTC,31-May-24,35000,C,,29.6,20.3201,3.00058,1.38162,,,0.99704,0.4565,,0.4445,0.4462,0.448,123.93,62836,0.060273973,22,27836
BTC,31-May-24,35000,P,5.4,145,0.11721,3.00058,1.38162,,,0.00296,0.0003,85.86,0.0001,0.0002,0.0004,99.27,62836,0.060273973,22,0
BTC,31-May-24,38000,C,,1.4,21.97054,4.89156,2.415,,,0.99447,0.4485,,0.397,0.3989,0.401,112.56,62836,0.060273973,22,24836
BTC,31-May-24,38000,P,9.6,118.5,0.21854,4.89156,2.415,,,0.00553,0.0004,83.69,0.0003,0.0004,0.0005,88.92,62836,0.060273973,22,0
BTC,31-May-24,40000,C,0.2,0.3,23.05071,6.22967,3.25935,,,0.99224,0.3555,,0.3655,0.3674,0.3695,103.72,62836,0.060273973,22,22836
BTC,31-May-24,40000,P,9.8,195.1,0.30621,6.22967,3.25935,,,0.00776,0.0006,78.55,0.0004,0.0005,0.0007,84.36,62836,0.060273973,22,0
BTC,31-May-24,42000,C,,8.7,24.06525,8.47356,4.64905,,,0.98834,0.335,,0.334,0.336,0.338,95.12,62836,0.060273973,22,20836
BTC,31-May-24,42000,P,2.4,147.5,0.45952,8.47356,4.64905,,,0.01166,0.001,76.25,0.0007,0.0008,0.0009,78.98,62836,0.060273973,22,0
BTC,31-May-24,44000,C,,150,25.0542,10.58789,6.18246,,,0.98378,0.3205,,0.303,0.3046,0.3065,86.51,62836,0.060273973,22,18836
BTC,31-May-24,44000,P,8.2,470.1,0.63881,10.59327,6.18567,,,0.01623,0.0011,72.08,0.001,0.0011,0.0013,75.05,62836,0.060273973,22,0
